add-yield-none,4,100,800,337303,421,61
add-yield-none,8,100,1600,408104,255,20
add-yield-none,12,100,2400,591460,246,-7
add-yield-none,1,1000,2000,1771227,885,0
add-yield-none,2,1000,4000,2010873,502,-22
add-yield-none,4,1000,8000,2004356,250,54
add-yield-none,8,1000,16000,2288968,143,-23
add-yield-none,12,1000,24000,3575558,148,-614
add-yield-none,1,10000,20000,16419525,820,0
add-yield-none,2,10000,40000,18640615,466,6
add-yield-none,4,10000,80000,19009745,237,-270
add-yield-none,8,10000,160000,21213330,132,-316
add-yield-none,12,10000,240000,33547791,139,-5828
add-yield-none,1,100000,200000,162625679,813,0
add-yield-none,2,100000,400000,172513875,431,-816
add-yield-none,4,100000,800000,184271441,230,105
add-yield-none,8,100000,1600000,205104324,128,-4799
add-yield-none,12,100000,2400000,297661477,124,-12083
add-m,1,10,20,98149,4907,0
add-s,1,10,20,73184,3659,0
add-c,1,10,20,91057,4552,0
add-m,2,10,40,114686,2867,0
add-s,2,10,40,107045,2676,0
add-c,2,10,40,109069,2726,0
add-m,4,10,80,148513,1856,0
add-s,4,10,80,144050,1800,0
add-c,4,10,80,143380,1792,0
add-m,8,10,160,260405,1627,0
add-s,8,10,160,241441,1509,0
add-c,8,10,160,237329,1483,0
add-m,12,10,240,349122,1454,0
add-s,12,10,240,351815,1465,0
add-c,12,10,240,347208,1446,0
add-m,1,20,40,60290,1507,0
add-s,1,20,40,88501,2212,0
add-c,1,20,40,86198,2154,0
add-m,2,20,80,89009,1112,0
add-s,2,20,80,96574,1207,0
add-c,2,20,80,98756,1234,0
add-m,4,20,160,158373,989,0
add-s,4,20,160,145388,908,0
add-c,4,20,160,144635,903,0
add-m,8,20,320,250532,782,0
add-s,8,20,320,235344,735,0
add-c,8,20,320,235914,737,0
add-m,12,20,480,336379,700,0
add-s,12,20,480,358632,747,0
add-c,12,20,480,370424,771,0
add-m,1,40,80,60693,758,0
add-s,1,40,80,69837,872,0
add-c,1,40,80,72407,905,0
add-m,2,40,160,93734,585,0
add-s,2,40,160,108566,678,0
add-c,2,40,160,108253,676,0
add-m,4,40,320,154091,481,0
add-s,4,40,320,146677,458,0
add-c,4,40,320,140853,440,0
add-m,8,40,640,260983,407,0
add-s,8,40,640,248703,388,0
add-c,8,40,640,237650,371,0
add-m,12,40,960,360719,375,0
add-s,12,40,960,355706,370,0
add-c,12,40,960,365016,380,0
add-m,1,80,160,63245,395,0
add-s,1,80,160,70680,441,0
add-c,1,80,160,70818,442,0
add-m,2,80,320,101781,318,0
add-s,2,80,320,103885,324,0
add-c,2,80,320,106815,333,0
add-m,4,80,640,137585,214,0
add-s,4,80,640,150060,234,0
add-c,4,80,640,141837,221,0
add-m,8,80,1280,244289,190,0
add-s,8,80,1280,257466,201,0
add-c,8,80,1280,259879,203,0
add-m,12,80,1920,371336,193,0
add-s,12,80,1920,359361,187,0
add-c,12,80,1920,374815,195,0
add-m,1,100,200,65186,325,0
add-s,1,100,200,86914,434,0
add-c,1,100,200,99999,499,0
add-m,2,100,400,111113,277,0
add-s,2,100,400,109199,272,0
add-c,2,100,400,90477,226,0
add-m,4,100,800,137195,171,0
add-s,4,100,800,146198,182,0
add-c,4,100,800,145670,182,0
add-m,8,100,1600,264473,165,0
add-s,8,100,1600,249276,155,0
