list-il-s,4,16,1,192,1236894,6442
list-dl-m,4,16,1,192,811837,4228
list-dl-s,4,16,1,192,990441,5158
list-i-m,8,16,1,384,749327,1951
list-i-s,8,16,1,384,812654,2116
list-d-m,8,16,1,384,482338,1256
list-d-s,8,16,1,384,868436,2261
list-il-m,8,16,1,384,3426723,8923
list-il-s,8,16,1,384,4743711,12353
list-dl-m,8,16,1,384,2284426,5949
list-dl-s,8,16,1,384,3838400,9995
list-i-m,12,16,1,576,1195174,2074
list-i-s,12,16,1,576,2202822,3824
list-d-m,12,16,1,576,907203,1575
list-d-s,12,16,1,576,375025,651
list-il-m,12,16,1,576,5806665,10081
list-il-s,12,16,1,576,11133240,19328
list-dl-m,12,16,1,576,3017066,5237
list-dl-s,12,16,1,576,6507106,11297
list-i-m,2,32,1,192,297483,1549
list-i-s,2,32,1,192,261878,1363
list-d-m,2,32,1,192,300108,1563
list-d-s,2,32,1,192,183682,956
list-il-m,2,32,1,192,1201770,6259
list-il-s,2,32,1,192,1403070,7307
list-dl-m,2,32,1,192,758606,3951
list-dl-s,2,32,1,192,688897,3588
list-i-m,4,32,1,384,443760,1155
list-i-s,4,32,1,384,440121,1146
list-d-m,4,32,1,384,418899,1090
list-d-s,4,32,1,384,547910,1426
list-il-m,4,32,1,384,3905034,10169
list-il-s,4,32,1,384,3502194,9120
list-dl-m,4,32,1,384,2472507,6438
list-dl-s,4,32,1,384,3578198,9318
list-i-m,8,32,1,768,1353066,1761
list-i-s,8,32,1,768,3752877,4886
list-d-m,8,32,1,768,1464952,1907
list-d-s,8,32,1,768,2203517,2869
list-il-m,8,32,1,768,12796723,16662
list-il-s,8,32,1,768,15211315,19806
list-dl-m,8,32,1,768,11290776,14701
list-dl-s,8,32,1,768,10779728,14036
list-i-m,12,32,1,1152,2699286,2343
list-i-s,12,32,1,1152,6285285,5455
list-d-m,12,32,1,1152,2554808,2217
list-d-s,12,32,1,1152,5568324,4833
list-il-m,12,32,1,1152,24682600,21425
list-il-s,12,32,1,1152,28465556,24709
list-dl-m,12,32,1,1152,14999705,13020
list-dl-s,12,32,1,1152,35668978,30962
list-none-m,1,1000,1,3000,4734659,1578
list-none-s,1,1000,1,3000,4827995,1609
list-none-m,2,1000,1,6000,29188512,4864
list-none-s,2,1000,1,6000,48141835,8023
list-none-m,4,1000,1,12000,98050651,8170
list-none-s,4,1000,1,12000,463857740,38654
list-none-m,8,1000,1,24000,452745763,18864
list-none-s,8,1000,1,24000,2530709878,105446
list-none-m,12,1000,1,36000,1019111724,28308
list-none-s,12,1000,1,36000,6735957185,187109
list-none-m,16,1000,1,48000,2128984165,44353
list-none-s,16,1000,1,48000,19844643500,413430
list-none-m,24,1000,1,72000,4577138864,63571
list-none-s,24,1000,1,72000,71534683347,993537
